condition_id,bucket,entry_price,won,notional,shares,edge_share
0xd2115113f52b4c5ac903c6d33ef223912d825be376fd597394f3ac74af9f5517,62-63°F,0.003,0,0.15,50.0,-0.003
0xef455001762c5dd2eb2e5ab112e09177f1f277d14ac2e6dff18e49a44ff3d972,68-69°F,0.004,0,0.0618,15.45,-0.004
0xfb442721d4b1128f846abb082607cb0376541dac30aa0d1a0cac97ef04a6d0b2,68-69°F,0.13,0,2.2399,17.23,-0.13
0x99cd90dea8ad204fd51da6384a61f274a5a1e66988c1b5f4a71977e4e7995dae,66-67°F,0.34,0,1.7,4.999999999999999,-0.34
0x4e42646e4b71c8210efb3df567c90fb28e03836465bab46d5eb7a47610207b7d,68-69°F,0.015,0,4.5,300.0,-0.015
0x5827ce2e1522d755a14c035d94f6ec95c99734fb652134d47e7245214d580fcf,68-69°F,0.999,1,50.0,50.050050050050054,0.0010000000000000009
0xafa4d99946b9db16cdaf556b711a58d2b27ed0a386fc6d63ef0ec21383432097,58-59°F,0.06,0,0.9132,15.22,-0.06
0xf8d47d9cc83f7a6d841106632536e410523718665b851f19ce7dc7e04cdc1fe1,84-85°F,0.995,1,0.995,1.0,0.0050000000000000044
