proxy_wallet,bot_score,cluster,kmeans,operator_id,operator_size,c_cadence_regularity,c_activity_247,c_size_regularity,c_breadth,c_burstiness,c_reaction,n_trades,active_hours,cv_gap,breadth_markets,max_trades_per_sec,reaction_alignment,realized_pnl_usdc,volume_usdc,roi_on_resolved,fill_win_rate
0x496f76bd5cf4c2819c710ae90ed1c84b2dc6fa5d,0.5042861695347355,1,1,,,0.0,0.9583333333333334,0.0841300191204589,1.0,0.6666666666666666,0.0,523,23,5.056713566037631,33,2,,70.43,858.22,0.0855,0.4882
0x6400219cccc8eaaa22729253111fd6660d20331a,0.5040404040404041,1,1,,,0.0,1.0,0.026936026936026935,1.0,0.6666666666666666,0.0,297,24,3.5987147311388297,50,2,0.1892,132.23,12939.52,0.0105,0.669
0xa1d944df338640999fc46fc5ace3ddda1c5b5e99,0.5033920833333333,1,1,,,0.0,0.7916666666666666,0.078125,1.0,0.6666666666666666,0.3333999999999999,64,19,1.631362856634224,33,2,0.6667,-8.74,97.16,-0.09,0.4375
0x3dc44175ae2d0175ee7bc76cd9ec04b614a91fd8,0.5029947916666667,-1,1,op_001,146.0,0.0,0.20833333333333334,0.7421875,1.0,1.0,0.0,128,5,3.3797291782141445,50,10,0.3077,7.92,65.19,0.1215,0.1094
0x942d10b74b0e2967b718bf8c6bde68ba7b90278e,0.5026422764227643,1,1,op_007,3.0,0.0,0.9583333333333334,0.07317073170731707,1.0,0.6666666666666666,0.0,164,23,3.7335228852678597,33,2,,-142.38,604.04,-0.2357,0.3415
0x7cab22740c5270d3802df6a9a5b92e1f3fd27ff6,0.5026422764227643,1,1,,,0.0,0.9583333333333334,0.07317073170731707,1.0,0.6666666666666666,0.0,82,23,1.2417663319398413,50,2,0.1538,-14.91,213.53,-0.0718,0.425
0x84b9b4adbe48a19fb3b13dd3b52af19606937f7f,0.5025773195876289,1,1,op_001,146.0,0.0,0.5,0.35051546391752575,1.0,1.0,0.0,97,12,3.0022880419010365,34,8,0.2857,14.68,385.05,0.0381,0.567
0x9d39edda1fab7e569111e1f5be4d55d4a5dd099a,0.5019304761904761,1,1,,,0.0,0.5416666666666666,0.03571428571428571,1.0,0.6666666666666666,0.8824000000000001,56,13,2.0628987999684782,36,2,0.9412,81.51,403.75,0.2019,0.6607
0x04b3f873b003eba3774df1e5e47a370d27ee1b7e,0.5015151515151516,1,1,op_001,146.0,0.0,0.6666666666666666,0.12121212121212122,1.0,1.0,0.0,66,16,1.7241538992589323,40,8,0.0,-12.99,419.85,-0.0309,0.7576
0xf908db19d44282867f39934bf5460d15aa7a6718,0.5013440860215054,1,1,,,0.0,0.7083333333333334,0.06451612903225806,1.0,1.0,0.0,62,17,2.1793533161805403,17,3,0.0,-12.66,934.74,-0.0135,0.4355
0x2b9582ae179664d7d792666467a77d1af101898a,0.5007387387387388,1,1,op_001,146.0,0.0,0.9166666666666666,0.036036036036036036,1.0,0.6666666666666666,0.1200000000000001,111,22,1.7041555298376625,51,2,0.56,-91.56,929.84,-0.1026,0.5849
